Party,Year,Sectors,Manifesto,Achievemnt_after_Tenure,Class
APC,2015,HealthCare,Prioritize the reduction of the infant mortality rate by 2019 to 3%; reduce maternal mortality by more than 70%; improve life expectancy by additional 10 years,Maternal mortality rate dropped by 38%,Yes
APC,2015,Economy,Make our economy one of the fastest growing emerging economies in the world with a real GDP growth averaging 10% annually;,GDP growth increased by 2.27%,Yes
APC,2015,Sports,"Establish world class sports academy and training institutes and ensure that Nigeria occupies a place of pride in global sports and athletics, Revive the nigerian football league","Super Eagles end 2019 as world's 31st, Falcons first in Africa. Nigeria's Super Eagles retained their spot as the world's 31st team in the World Football Ranking for the month of December",No
APC,2019,Jobs/Employment,"Engage one million graduates in Npower and skill up to 10 million people under a voucher system, support over one million farmers, promise to provide $500million in funding for tech to create 500,000 jobs and train 200,000 youths",UnEmployment rate increased by more than 20%,No
APC,2019,Infrastructure,"We will complete the Railway projects as on the foundation will laid down in the last 3 and half years, we will move broadband coverage to 120,000km of fibre network access across nigeria, also priortize internet access.",Nigeria has a huge infrastructural deficit and requires up to $3 trillion over the next 30 years to bridge this gap,No
APC,2019,Power and Energy,"We promise a  minimum of 1000 MW new generation incremental power capacity per annum on the Grid; Distribution to get to 7,000 MW under Distribution Expansion programme”.",Energy production improved by 7.5%,Yes
APC,2019,Entrepreneurship Development,"Under the people moni scheme, there would be a consolidation of the current trader moni, market moni and farmer moni schemes, targeting 10 million Nigerians from ‘the current 2.3 million’.","In 2022, the REPS approve special bank funding for entrepreneurs: a bill seeking to establish an entrepreneurship development bank with the aim of of providing soft loans for small and medium scale enterprises in the country",Yes
APC,2019,Human Capital Enhancement HealthCare,"there will be insurance for all using “co-payments to share the cost between individuals, the private sector and government,” while “the poorest 40 per cent will be exempted from such co-payments”.",Nigeria's public healthcare remains underfunded,No
APC,2019,Political Inclusion,The president promises to ensure 35 per cent of his appointments go to females. And also increase the number of youth for appointements to boards and special mentoring programme in governance with young graduates,"The bill wasn't allowed by the house of reps, as it was opposed also in 2017",No
APC,2019,Security,Increase security by tackling the terrorist groups,In 2021 Nigeria ranks third in the Global terrorism index.,No
